team,Team_Strength
TYLOO,114.75999999999999
Cubert Academy,111.06
Paper Rex,109.1433
Sentinels,106.3726
Dragon Ranger Gaming,104.47999999999999
Team Liquid,104.32
FUT Esports,104.1997
Rex Regum Qeon,104.03750000000001
Karmine Corp,103.224
T1,102.2499
FNATIC,101.727875
G2 Esports,101.4285
GIANTX,100.55833333333334
GIANTX,100.55833333333334
GIANTX,100.55833333333334
DRX,100.3961
Gen.G,100.1028
Wolves Esports,100.0625
LEVIATÁN,98.96475000000001
LOUD,98.291
100 Thieves,98.06
KOI,97.21199999999999
NRG Esports,97.13520000000001
Nova Esports,96.445
2Game Esports,95.5095
EDward Gaming,95.42139999999999
Xi Lai Gaming,94.98333333333333
ZETA DIVISION,94.834
Moist x Shopify,94.805375
RIDDLE ORDER,94.675625
Team Heretics,94.56909999999999
JiJieHao,93.85310000000001
FunPlus Phoenix,93.81009999999999
Cloud9,93.49050000000001
TALON,93.0026
JDG Esports,92.5275
Disguised,92.435875
BOOM Esports,91.43190000000001
DetonatioN FocusMe,91.416
SaD Esports,91.11675
Gentle Mates,89.8875
Global Esports,89.72316666666666
Evil Geniuses,89.41916666666667
BBL Esports,89.00725
Turtle Troop,88.3425
TSM,88.2174
Bilibili Gaming,88.1563
YFP Gaming,87.70719999999999
All Gamers,86.66666666666667
CREST GAMING Zst,86.18875
CREST GAMING Zst,86.18875
CREST GAMING Zst,86.18875
Chaos Alliance,86.17699999999999
Level 5,86.021375
TUMT Shark,85.52
Apeks,85.44366666666667
Trust In Plug,84.34416666666668
Trust In Plug,84.34416666666668
Trust In Plug,84.34416666666668
Trace Esports,84.33519999999999
KRÜ Esports,83.8585
QoR,82.71225
The Ultimates,82.41490000000002
DRAGONS,82.1
ZOL Esports,78.4991
BABO,77.46925
Next Gen,76.889
Titan Esports Club,76.43199999999999
BC SWELL,75.99183333333333
Unsigned5,75.8656
Alter Ego,74.98679999999999
NOEZ FOXX,74.2615
Delight,73.08749999999999
Onyx Ravens,70.84016666666666
Ambrosia,69.2253
Reckoning Esports,69.19983333333333
Team NKT Academy,68.965
Original Gaming,65.52850000000001
Ambitious Legend Gaming GC,37.99333333333333
Xipto Esports,36.8975
oomfies,35.991749999999996
G2 Gozen,35.6426
Team Falcons Vega,35.580625000000005
KRÜ BLAZE,35.218900000000005
FlyQuest RED,32.6691
MIBR GC,32.4097
GIANTX GC,32.0533
Shopify Rebellion,31.710124999999998
Refrag,30.619999999999997
Teddy Tactics,30.053375
YFP X,29.167
ZETA DIVISION GC,28.597299999999997
Elation Vortex,26.294666666666668
Paper Rex x Spotlight Series,26.106
mesos millionaires,24.048499999999997
esports team αD,
esports team αD,
Stacked Like Pancakes,
LAZY,
Mogo eSports,
esports team αD,
Stacked Like Pancakes,
LAZY,
Mogo eSports,
Team Rotib4kar,
Team Jeicchu,
Natus Vincere,
Team ESOTERIC,
Team CombatBaby,
BLUE BEES.ESP,
club penguin,
CNEsports,
Tiny Turtle Squad,
Unicorn Cyber Esports,
Randoms,
Team beejaayyy,
RANKERS,
Team JoshF,
True Rippers,
Team Cece,
IGZIST,
DRX Changers,
APAY Academy,
FURIA,
DUPG Esports,
Team Poupi,
Team Micera,
Team Coldan,
Team Big BAAM,
Xipto x Global Esports,
Exsto Gaming,
Dreams To Legends,
Orangutan,
Blue Eyes White Dragon,
Team Vitality,
BITEKI,
Team Kira,
Team Secret,
RIVAL,
Asterisk,
Veterans,
Nongshim RedForce,
Team xclvsssyx,
New World Order,
Qadsiah Esports,
MiBH,
Team Sampphire,
Team sol8erry,
MIBR,
Team Elzira,
Team Flash,
Nightblood Gaming,
Team yanxinng,
All Gamers Young,
Reformed GC,
floppers,
Passion Project,
Solstice,
